"","Estimate","95%.CIs"
"b_prop.lrs.non.migrators.3",0.599,"[0.007 - 1.211]"
"b_ParishLin.SexMale.3",-0.07,"[-0.25 - 0.121]"
"b_ParishLin.prop.lrs.non.migrators.3",-0.043,"[-0.743 - 0.645]"
"b_SexMale.prop.lrs.non.migrators.3",-0.211,"[-0.942 - 0.464]"
"b_zi_ngo.kk",-0.568,"[-0.679 - -0.467]"
"b_zi_ParishLin.3",-0.435,"[-1.899 - 1.091]"
"b_zi_SexMale.3",0.318,"[-1.251 - 1.916]"
"b_zi_prop.lrs.non.migrators.3",1.331,"[-0.085 - 2.615]"
"b_zi_ParishLin.SexMale.3",-0.397,"[-1.099 - 0.295]"
"b_zi_ParishLin.prop.lrs.non.migrators.3",1.125,"[-0.502 - 2.732]"
"b_zi_SexMale.prop.lrs.non.migrators.3",-0.078,"[-1.736 - 1.59]"
"sd_parish.cohort.10y__Intercept.3",0.074,"[0.003 - 0.193]"
"sd_parish.cohort.10y__ngo.kk",0.007,"[0.003 - 0.012]"
"sd_parish.cohort.10y__zi_Intercept.3",0.377,"[0.02 - 0.85]"
"sd_parish.cohort.10y__zi_ngo.kk",0.253,"[0.163 - 0.374]"
"R2",0.131,"[0.107 - 0.159]"
"R2.1",0.29,"[0.253 - 0.328]"
"R2.2",0.335,"[0.296 - 0.373]"
"R2.3",0.569,"[0.531 - 0.604]"
